iter	Passed	Remaining
0	158	158774
1	159	79764
2	160	53392
3	161	40174
4	162	32258
5	162	26967
6	163	23206
7	164	20394
8	165	18188
9	166	16440
10	167	15022
11	168	13844
12	168	12824
13	169	11943
14	170	11204
15	171	10546
16	172	9960
17	173	9444
18	173	8981
19	174	8568
20	175	8198
21	176	7858
22	177	7540
23	178	7258
24	179	6997
25	180	6755
26	181	6527
27	181	6316
28	182	6123
29	183	5940
30	184	5771
31	185	5608
32	186	5462
33	187	5322
34	188	5189
35	189	5067
36	189	4943
37	190	4828
38	191	4719
39	192	4617
40	193	4516
41	193	4419
42	194	4330
43	195	4246
44	196	4162
45	197	4088
46	197	4012
47	198	3939
48	199	3870
49	200	3804
50	201	3740
51	201	3678
52	202	3621
53	203	3561
54	204	3505
55	204	3452
56	205	3399
57	206	3348
58	206	3298
59	207	3252
60	208	3206
61	208	3160
62	209	3116
63	210	3072
64	210	3033
65	211	2994
66	212	2956
67	213	2920
68	213	2882
69	214	2846
70	214	2812
71	215	2779
72	216	2747
73	217	2715
74	217	2686
75	218	2658
76	219	2627
77	219	2598
78	220	2572
79	221	2545
80	222	2518
81	222	2493
82	223	2464
83	223	2438
84	224	2414
85	224	2390
86	225	2367
87	226	2345
88	226	2323
89	227	2302
90	228	2281
91	229	2262
92	229	2241
93	230	2221
94	231	2202
95	231	2183
96	232	2165
97	233	2146
98	233	2128
99	234	2111
100	235	2093
101	236	2077
102	236	2060
103	237	2043
104	237	2028
105	238	2012
106	239	1995
107	239	1980
108	240	1965
109	241	1951
110	241	1936
111	242	1923
112	243	1910
113	244	1897
114	244	1884
115	245	1873
116	246	1860
117	247	1848
118	248	1837
119	248	1824
120	249	1812
121	250	1800
122	250	1789
123	251	1777
124	252	1766
125	252	1754
126	253	1742
127	254	1731
128	255	1722
129	255	1711
130	256	1700
131	257	1690
132	257	1680
133	258	1670
134	259	1660
135	259	1651
136	260	1642
137	261	1633
138	262	1623
139	262	1614
140	263	1605
141	263	1594
142	264	1586
143	265	1577
144	265	1568
145	266	1559
146	267	1550
147	267	1541
148	268	1533
149	269	1526
150	269	1517
151	270	1509
152	271	1502
153	272	1494
154	272	1486
155	273	1479
156	274	1471
157	274	1464
158	275	1457
159	276	1450
160	276	1442
161	277	1435
162	278	1428
163	278	1420
164	279	1413
165	279	1406
166	280	1399
167	281	1392
168	281	1385
169	282	1378
170	283	1372
171	283	1366
172	284	1359
173	285	1353
174	285	1347
175	286	1340
176	287	1334
177	287	1328
178	288	1322
179	289	1317
180	289	1311
181	290	1306
182	291	1300
183	291	1294
184	292	1288
185	293	1282
186	293	1277
187	294	1271
188	295	1266
189	295	1260
190	296	1254
191	296	1249
192	297	1243
193	298	1238
194	298	1233
195	299	1228
196	300	1223
197	300	1218
198	301	1213
199	302	1208
200	302	1203
201	303	1199
202	304	1194
203	304	1189
204	305	1185
205	306	1180
206	306	1175
207	307	1170
208	308	1166
209	308	1161
210	309	1156
211	310	1152
212	310	1147
213	311	1143
214	312	1139
215	312	1135
216	313	1131
217	314	1127
218	314	1123
219	315	1119
220	316	1115
221	316	1110
222	317	1106
223	318	1102
224	319	1099
225	319	1094
226	320	1091
227	321	1086
228	321	1082
229	322	1079
230	322	1075
231	323	1071
232	324	1067
233	324	1063
234	325	1059
235	326	1056
236	326	1052
237	327	1048
238	328	1045
239	329	1042
240	329	1038
241	330	1035
242	331	1031
243	331	1028
244	332	1025
245	333	1021
246	334	1018
247	334	1014
248	335	1012
249	336	1008
250	336	1005
251	337	1001
252	338	998
253	338	995
254	339	992
255	340	988
256	340	985
257	341	982
258	342	979
259	342	976
260	343	972
261	344	970
262	345	967
263	345	964
264	346	961
265	347	959
266	348	956
267	349	953
268	349	950
269	350	947
270	351	944
271	351	942
272	352	939
273	353	936
274	354	933
275	354	930
276	355	928
277	356	925
278	356	922
279	357	920
280	358	917
281	359	915
282	360	912
283	360	910
284	361	907
285	362	905
286	363	903
287	364	901
288	365	898
289	365	896
290	366	893
291	367	890
292	368	888
293	368	885
294	369	882
295	370	880
296	371	878
297	372	876
298	372	874
299	373	872
300	374	869
301	375	867
302	376	865
303	376	863
304	377	860
305	378	858
306	379	855
307	379	853
308	380	850
309	380	848
310	381	845
311	382	842
312	382	840
313	383	838
314	384	835
315	384	833
316	385	830
317	386	828
318	386	826
319	387	823
320	388	821
321	388	818
322	389	816
323	390	814
324	390	811
325	391	809
326	392	807
327	393	805
328	393	802
329	394	800
330	394	798
331	395	795
332	396	793
333	396	791
334	397	788
335	398	786
336	398	784
337	399	781
338	399	779
339	400	777
340	401	775
341	402	773
342	402	771
343	403	769
344	404	767
345	404	765
346	405	763
347	406	761
348	407	759
349	407	757
350	419	776
351	420	773
352	421	771
353	421	769
354	422	767
355	422	765
356	423	762
357	424	760
358	424	758
359	425	756
360	425	753
361	426	751
362	426	749
363	427	746
364	428	744
365	428	742
366	429	740
367	429	738
368	430	735
369	431	734
370	431	732
371	432	730
372	433	728
373	434	726
374	434	724
375	435	722
376	436	720
377	436	719
378	437	717
379	438	715
380	438	713
381	439	711
382	440	708
383	440	706
384	441	704
385	441	702
386	442	700
387	443	698
388	443	696
389	444	694
390	444	692
391	445	691
392	446	689
393	447	687
394	447	686
395	448	684
396	449	682
397	449	680
398	450	678
399	451	677
400	452	675
401	453	674
402	453	672
403	454	670
404	455	668
405	456	667
406	456	665
407	457	664
408	458	662
409	459	660
410	460	659
411	461	658
412	462	656
413	462	655
414	463	653
415	464	652
416	465	650
417	466	649
418	466	647
419	467	645
420	468	644
421	469	643
422	470	641
423	471	640
424	471	638
425	472	636
426	473	634
427	473	633
428	474	632
429	475	630
430	476	629
431	477	627
432	478	626
433	478	624
434	479	623
435	480	621
436	481	620
437	482	618
438	482	617
439	483	615
440	484	613
441	484	612
442	485	610
443	486	608
444	486	607
445	487	605
446	488	604
447	489	602
448	490	601
449	490	599
450	491	598
451	492	596
452	492	595
453	493	593
454	494	591
455	494	590
456	495	588
457	496	587
458	497	585
459	497	584
460	498	582
461	498	580
462	499	579
463	500	577
464	500	576
465	501	574
466	501	572
467	502	571
468	502	569
469	503	567
470	504	566
471	505	564
472	505	563
473	506	561
474	507	560
475	507	558
476	508	557
477	509	556
478	509	554
479	510	552
480	511	551
481	512	550
482	512	548
483	513	547
484	514	546
485	514	544
486	515	543
487	516	541
488	516	540
489	517	538
490	518	537
491	519	536
492	520	534
493	520	533
494	521	532
495	522	530
496	523	529
497	523	527
498	524	526
499	525	525
500	526	524
501	526	522
502	527	521
503	528	520
504	529	518
505	529	517
506	530	516
507	531	514
508	532	513
509	532	511
510	533	510
511	534	509
512	535	508
513	536	506
514	536	505
515	537	504
516	538	503
517	539	501
518	540	500
519	540	499
520	541	497
521	542	496
522	542	495
523	543	493
524	544	492
525	544	491
526	545	489
527	546	488
528	546	486
529	547	485
530	548	484
531	549	483
532	550	482
533	551	480
534	551	479
535	552	478
536	553	477
537	554	476
538	555	474
539	555	473
540	556	472
541	557	471
542	558	469
543	558	468
544	559	467
545	560	465
546	560	464
547	561	463
548	562	461
549	562	460
550	563	459
551	564	458
552	565	457
553	566	455
554	566	454
555	567	453
556	568	451
557	569	451
558	570	449
559	571	449
560	572	448
561	573	447
562	574	445
563	574	444
564	575	443
565	576	441
566	577	440
567	578	440
568	579	438
569	580	437
570	581	436
571	582	435
572	582	434
573	583	433
574	584	431
575	584	430
576	585	429
577	586	428
578	587	427
579	588	425
580	588	424
581	589	423
582	590	422
583	590	420
584	591	419
585	592	418
586	593	417
587	594	416
588	595	415
589	596	414
590	596	413
591	597	411
592	598	410
593	599	409
594	600	408
595	600	407
596	601	405
597	602	404
598	602	403
599	603	402
600	604	401
601	604	399
602	605	398
603	606	397
604	607	396
605	608	395
606	608	394
607	609	393
608	610	391
609	610	390
610	611	389
611	612	388
612	613	387
613	613	385
614	614	384
615	615	383
616	615	382
617	616	381
618	617	379
619	617	378
620	618	377
621	618	376
622	619	374
623	620	373
624	620	372
625	621	371
626	622	370
627	623	369
628	623	367
629	624	366
630	625	365
631	625	364
632	626	363
633	627	362
634	628	361
635	628	359
636	629	358
637	629	357
638	630	356
639	631	355
640	631	353
641	632	352
642	633	351
643	633	350
644	634	349
645	634	347
646	635	346
647	636	345
648	637	344
649	637	343
650	638	342
651	639	341
652	639	339
653	640	338
654	641	337
655	641	336
656	642	335
657	643	334
658	644	333
659	644	332
660	645	330
661	645	329
662	646	328
663	647	327
664	647	326
665	648	325
666	649	324
667	650	323
668	651	322
669	651	321
670	652	320
671	653	319
672	654	317
673	655	316
674	655	315
675	656	314
676	657	313
677	658	312
678	658	311
679	659	310
680	660	309
681	660	308
682	661	307
683	662	305
684	662	304
685	663	303
686	664	302
687	665	301
688	665	300
689	666	299
690	667	298
691	668	297
692	669	296
693	669	295
694	670	294
695	671	293
696	672	292
697	672	291
698	673	290
699	674	288
700	674	287
701	675	286
702	676	285
703	677	284
704	677	283
705	678	282
706	679	281
707	680	280
708	681	279
709	681	278
710	682	277
711	683	276
712	684	275
713	684	274
714	685	273
715	686	272
716	687	271
717	687	270
718	688	269
719	689	268
720	690	267
721	690	265
722	691	264
723	692	263
724	692	262
725	693	261
726	693	260
727	694	259
728	695	258
729	696	257
730	697	256
731	697	255
732	698	254
733	699	253
734	699	252
735	700	251
736	701	250
737	701	249
738	702	248
739	703	247
740	704	246
741	704	245
742	705	243
743	705	242
744	706	241
745	707	240
746	708	239
747	708	238
748	709	237
749	710	236
750	711	235
751	711	234
752	712	233
753	713	232
754	714	231
755	715	230
756	716	229
757	716	228
758	717	227
759	718	226
760	718	225
761	719	224
762	720	223
763	721	222
764	721	221
765	722	220
766	723	219
767	723	218
768	724	217
769	725	216
770	726	215
771	727	214
